[2025-09-30T21:07:26.511051500] SecurityIncidentReport saved: id=1, employee=Milica Petrović, securityOrg=Cybersecurity Dept., affectedOrg=IT services, severity=MEDIUM, address=Bulevar Oslobođenja 18, city=Novi Sad, content=A malware attack was detected on the IT services network., file=incident-reports/c6b2a46f-e5eb-4a4c-b3a7-f1fe3033c4c2.pdf

[2025-09-30T21:13:48.379817800] SecurityIncidentReport saved: id=2, employee=Milica Petrović, securityOrg=Cybersecurity Dept., affectedOrg=IT services, severity=MEDIUM, address=Bulevar Oslobođenja 18, city=Novi Sad, content=A malware attack was detected on the IT services network., file=incident-reports/110f3d7e-21ff-41ca-a22c-e08b7cb686c4.pdf

[2025-09-30T21:28:44.044356600] SecurityIncidentReport saved: id=3, employee=Milica Petrović, securityOrg=Cybersecurity Dept., affectedOrg=IT services, severity=MEDIUM, address=Bulevar Oslobođenja 18, city=Novi Sad, content=A malware attack was detected on the IT services network., file=incident-reports/59f80f80-d9f9-4959-a07a-7771e72fdda8.pdf

[2025-09-30T21:39:44.241023] SecurityIncidentReport saved: id=4, employee=Milica Petrović, securityOrg=Cybersecurity Dept., affectedOrg=IT services, severity=MEDIUM, address=Bulevar Oslobođenja 18, city=Novi Sad, content=A malware attack was detected on the IT services network., file=incident-reports/271dceb4-413e-49aa-a8af-ff59d3a974bd.pdf

[2025-09-30T21:43:35.062337900] SecurityIncidentReport saved: id=5, employee=Milica Petrović, securityOrg=Cybersecurity Dept., affectedOrg=IT services, severity=MEDIUM, address=Bulevar Oslobođenja 18, city=Novi Sad, content=A malware attack was detected on the IT services network., file=incident-reports/65f94a73-a680-4675-9633-9428790c5549.pdf

[2025-09-30T21:51:53.021803] SecurityIncidentReport saved: id=6, employee=Milica Petrović, securityOrg=Cybersecurity Dept., affectedOrg=IT services, severity=MEDIUM, address=Bulevar Oslobođenja 18, city=Novi Sad, content=A malware attack was detected on the IT services network., file=incident-reports/cebc433b-f47d-4d36-955e-0a4011ec5d75.pdf

[2025-09-30T22:02:33.659176] SecurityIncidentReport saved: id=7, employee=Milica Petrović, securityOrg=Cybersecurity Dept., affectedOrg=IT services, severity=MEDIUM, address=Bulevar Oslobođenja 18, city=Novi Sad, content=A malware attack was detected on the IT services network., file=incident-reports/88b8c290-f9a2-448e-b153-6c22aac88cf2.pdf

[2025-09-30T22:10:06.548963] SecurityIncidentReport saved: id=8, employee=Milica Petrović, securityOrg=Cybersecurity Dept., affectedOrg=IT services, severity=MEDIUM, address=Bulevar Oslobođenja 18, city=Novi Sad, content=A malware attack was detected on the IT services network., file=incident-reports/7079dcaf-381a-4db4-bfd4-6116cee7c245.pdf

[2025-09-30T22:31:43.919953300] SecurityIncidentReport saved: id=9, employee=Milica Petrović, securityOrg=Cybersecurity Dept., affectedOrg=IT services, severity=MEDIUM, address=Bulevar Oslobođenja 18, city=Novi Sad, content=A malware attack was detected on the IT services network., file=incident-reports/452a79c6-f6aa-4c03-9e2c-8af0add05241.pdf

[2025-10-02T15:10:01.410295300] SecurityIncidentReport saved: id=10, employee=Milica Petrović, securityOrg=Cybersecurity Dept., affectedOrg=IT services, severity=MEDIUM, address=Bulevar Oslobođenja 18, city=Novi Sad, content=A malware attack was detected on the IT services network., file=incident-reports/98134894-600c-4131-94c8-0b108ffe50ea.pdf

[2025-10-02T15:55:53.343484300] SecurityIncidentReport saved: id=11, employee=Ivana Jukić, securityOrg=CyberSec Solutions, affectedOrg=Synechron, severity=MEDIUM, address=Sutjeska 15, city=Bačka Palanka, content=Tokom rutinske kontrole mreže otkriven je pokušaj neovlašćenog pristupa IT, file=incident-reports/96e7c8d8-5e29-42d8-933a-bed70b7f498a.pdf

[2025-10-02T19:33:38.523120500] SecurityIncidentReport saved: id=13, employee=Milica Petrović, securityOrg=Cybersecurity Dept., affectedOrg=IT services, severity=MEDIUM, address=Bulevar Oslobođenja 18, city=Novi Sad, content=A malware attack was detected on the IT services network., file=incident-reports/6bfbe640-10eb-4b06-ac84-8b00fc7ac7af.pdf

[2025-10-02T19:33:59.044791500] SecurityIncidentReport saved: id=14, employee=Ivana Jukić, securityOrg=CyberSec Solutions, affectedOrg=Synechron, severity=MEDIUM, address=Sutjeska 15, city=Bačka Palanka, content=Tokom rutinske kontrole mreže otkriven je pokušaj neovlašćenog pristupa IT, file=incident-reports/f9774a83-d888-4850-8684-db054d571abc.pdf

